date,title,source,length,body,subject
2022-08-19,COVID-19 increases risk of brain fog and dementia,China Daily,208,"chinadaily.com.cn | Updated: 2022-06-18 07:00
The COVID-19 is still rampaging unchecked in the US as no public health measures are in place to protect people adequately from being infected, an infectious disease expert says.
""The elderly, the immunocompromised, and other vulnerable populations remain at risk of severe infection,"" wrote William A. Haseltine in an article published on the Project Syndicate website on June 10. Haseltine is chair and president of the global health think tank ACCESS Health International.
The needs of the vulnerable people have been forgotten, he said. The main treatment options currently for the people who get infected and are at risk for long-term effects and disability still cannot be put into wider use because they all have limitations.
Vaccination alone is not sufficient to protect people from being re-infected with COVID-19, he added. More than one-third COVID-19 patients will develop long-term symptoms of some kind, and two to four percent will experience severe consequences that would make them ill for many months, even years.
""Unless we find powerful ways to eliminate the SARS-CoV-2 virus, it will remain a scourge. Some strains are only a mutation or two away from a leap in lethality,"" the author said.",COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (93%); PUBLIC HEALTH (91%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH ADMINISTRATION (90%); VULNERABLE ADULTS (90%); VULNERABLE HEALTH POPULATIONS (90%); DISEASE IMMUNITY (78%); CORONAVIRUSES (77%); DISEASES & DISORDERS (77%); WRITERS (76%); VACCINES (73%); SENIOR CITIZENS (72%)
2022-06-18,US ignoring rampaging COVID-19: expert,China Daily,266,"By Cui Jia | chinadaily.com.cn | Updated: 2022-12-27 18:37
China's move to downgrade the management of COVID-19 from category A to category B - a major adjustment to China's epidemic control policy - was well-timed, a senior health official said.
Li Bin, vice-minister of the National Health Commission, said at a news conference on Tuesday that since placing the management of COVID-19 in category A in 2020, the country has withstood five waves of the epidemic and has helped its people avoid being infected by stronger variants of the virus. It has also bought time for China to prepare its medical resources.
""By evaluating factors including viral mutations, epidemic situations and disease control capability, China has met the basic requirements for downgrading management. The decision was made because we are ready,"" Li said.
The dominant Omicron strain is highly infectious, but the rates of severe illnesses and deaths are extremely low. Also, China has distributed over 3.4 billion COVID-19 doses and has fully vaccinated more than 92 percent of people age 3 and above, he added.
The adjustment is aimed at controlling outbreaks more precisely and scientifically, and at making more efficient use of resources to balance epidemic containment and socioeconomic development, Li said.
""More epidemic control resources will be used to help those who are vulnerable, including the elderly, pregnant women and children,"" he said.
Li said downgrading the disease does not mean the virus will be left to run rampant, as the pandemic is still ongoing and there is still uncertainty about its development.",COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (92%); COMMUNICABLE DISEASE CONTROL (90%); DISEASES & DISORDERS (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); HEALTH DEPARTMENTS (77%); PANDEMICS (77%); PUBLIC HEALTH ADMINISTRATION (77%); VULNERABLE ADULTS (76%); PRESS CONFERENCES (73%); VACCINES (73%); GOVERNMENT ADVISORS & MINISTERS (72%); WOMEN'S HEALTH (72%); SENIOR CITIZENS (71%); DEATH & DYING (69%); PREGNANCY & CHILDBIRTH (64%)
2022-12-27,"'We are ready' for downgrade of COVID-19 management, vice-minister says",China Daily,325,"By ZHANG YU | chinadaily.com.cn | Updated: 2022-08-30 21:06
Officials in Chengde, Hebei province apologized on Tuesday for a notice threatening excessive consequences for those who don't cooperate with efforts in controlling the COVID-19 epidemic, according to a statement by local authorities.
The notice, quickly retracted, was released by the Office of Command for the Prevention and Control of COVID-19 Epidemic in the Chengde High-tech Industrial Development Zone.
It alleged those who deliberately conceal travel and refuse to cooperate with epidemiological investigations will face grave consequences, including bearing medical expenses themselves if confirmed as infected with COVID-19 and proven to have been dishonest.
""We apologize for the distress caused by the notice,"" the statement by the zone's government read, adding further investigation is underway and those responsible will be punished according to the law.
The statement said the measures mentioned in the notice had been issued without approval, and there was insufficient foundation in terms of laws and national guidelines, thus the notice would be revoked.
The notice led to heated discussion online. It claimed if the persons responsible are relatives of Party members or government officials, they will bear joint responsibility for failure to manage and advise their relatives well.
If they are entrepreneurs, the notice said they will be put onto a blacklist of banks and will be not allowed to apply for several types of loans.
If they are ordinary private citizens, the notice added they will be punished for dishonest behavior, meaning they and their collateral relatives up to three generations will be forbidden from joining the army or the Communist Party of China, or applying for jobs as civil servants. They can only be removed from the list if they maintain a clean record for three years.
None of the punishments mentioned could be found in national policy directives.",COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); DISEASES & DISORDERS (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); NEGATIVE PERSONAL NEWS (90%); PUBLIC HEALTH (90%); PUBLIC OFFICIALS (90%); COMMUNISM (79%); CIVIL SERVICES (78%); EPIDEMIOLOGY (77%); CRIMINAL INVESTIGATIONS (75%); INVESTIGATIONS (75%); GOVERNMENT & PUBLIC ADMINISTRATION (73%); PUBLIC POLICY (73%); POLITICAL PARTIES (68%)
2022-08-30,Hebei officials retract overzealous COVID-19 notice,China Daily,231,"By Wang Xiaoyu | chinadaily.com.cn | Updated: 2022-11-27 18:21
The 20 adjusted COVID-19 control measures released by the State Council's Joint Prevention and Control Mechanism on Nov 11 strictly forbid imposing arbitrary COVID-19 restrictions such as locking down schools, halting production, suspending transportation without approval and prolonged lockdowns. A series of laws, regulations and guidelines have clarified the requirements. The following Q&A is compiled to provide greater clarity around the new measures.
Q: Who has the power to implement lockdowns?
A: Local governments at and above the county level can enforce lockdowns, according to China's Law on the Prevention and Treatment of Infectious Diseases.
The law stipulates that governments at and above the county level should organize resources to cut transmission of contagious diseases when an outbreak occurs. If necessary, they should report to upper-level authorities to determine the rollout of a series of emergency measures, such as suspending markets, art performances and other gatherings; halting production; and closing down schools and venues that might cause further spread of the virus.
The Regulations on Emergency Response to Acute Public Health Events also requires health departments of governments at and above the county level to lead in the management of health emergencies and the provision of treatment.",COVID CORONAVIRUS (92%); COVID-19 CORONAVIRUS (91%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (88%); COMMUNICABLE DISEASE CONTROL (78%); EMERGENCY MEDICAL SERVICES (78%); PREVENTION & WELLNESS (77%); REGIONAL & LOCAL GOVERNMENTS (77%); GOVERNMENT & PUBLIC ADMINISTRATION (76%); HEALTH DEPARTMENTS (76%); MEDICAL TREATMENTS & PROCEDURES (74%); PUBLIC HEALTH ADMINISTRATION (74%); LAW & LEGAL SYSTEM (71%)
2022-11-27,Q&A on the 20 adjusted COVID-19 control measures,China Daily,568,"By WANG XIAOYU | China Daily | Updated: 2022-06-22 09:14
Growing reports of people experiencing a COVID-19 rebound after taking the antiviral treatment Paxlovid have ""refreshed our understanding of the novel coronavirus"", a senior Chinese public health expert said on Monday.
The phenomenon suggests that COVID-19 antiviral drugs work by inhibiting the novel coronavirus' replication, rather than killing the virus in an infected patient-employing the same method as medications against HIV, Wu Zunyou, chief epidemiologist at the Chinese Center for Disease Control and Prevention, said on his Sina Weibo social media account.
While stressing that Paxlovid, made by United States' pharmaceutical giant Pfizer, is one of just a handful of effective therapies available at present, Wu said recent rebound cases should serve as a reminder that the development of COVID-19 drugs remains an arduous task.
A COVID-19 rebound is characterized by a recurrence of symptoms or a new positive viral test after having tested negative, according to a health advisory issued by the US Center for Disease Control and Prevention.
A review of clinical trial data submitted by Pfizer showed that 1 to 2 percent of patients had infection rebounds after completing treatment, the US Food and Drug Administration said in May.
One self-reported case in particular attracted the attention of Wu and other health experts around the globe.
David Ho, a renowned virologist at Columbia University who pioneered the discovery of cocktail therapy against HIV/AIDS, said during an interview with Time magazine in May that he tested positive again after taking a five-day course of Paxlovid and having tested negative at least six times.
By using his lab at Columbia University, Ho was able to carefully track his infection and to genome sequence the virus.
""What Ho found is that the second round of positive COVID-19 infection is not because the virus has developed resistance to the drug or mutated. Nor was he infected with another strain of the virus,"" Wu said. ""Instead, it was caused by a 'resurrection' or 'rebound' of the initial infection.""
In a case report released on May 23 on Research Square, a preprint platform, Ho looked into 10 rebound cases, including his own. The report was published by researchers from several institutions in the US.
""Two of the 10 cases had transmitted the virus to others when their infections recurred, suggesting their contagiousness was not low,"" he said, adding that relapsed cases tested negative without further treatment in about three to five days.
Based on its findings, the report suggested patients who have symptomatic relapse following Paxlovid treatment should isolate until antigen testing is negative.
Wu said a COVID-19 rebound after treatment is similar to some cases observed in HIV patients.
Current HIV drugs aim at blocking the virus' replication and suppressing the viral load in a patient below the detectable threshold. But the virus will rebound after suspending treatment and HIV patients need to take medications for life, according to Wu.
""The phenomenon has refreshed our view of the novel coronavirus and made us realize that COVID-19 drugs might not be as convenient as we've imagined and there is a long and strenuous way ahead,"" he said.
Wu noted that the benefits of COVID-19 antiviral drugs outweigh the risks and Paxlovid can still be used as an effective drug against the disease.","COVID CORONAVIRUS (94%); COVID-19 CORONAVIRUS (94%); EPIDEMIOLOGY (93%); AIDS & HIV (90%); AIDS & HIV TREATMENT (90%); CLINICAL TRIALS (90%); CORONAVIRUSES (90%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); PUBLIC HEALTH ADMINISTRATION (90%); VIRUSES (90%); DRUG & MEDICAL DEVICES APPROVAL (78%); INTERVIEWS (78%); MICROBIOLOGY (78%); VIROLOGY (77%); US FEDERAL GOVERNMENT (74%); RESEARCH REPORTS (73%); SOCIAL MEDIA (70%)

Company:  PFIZER INC (85%)

Ticker: PFZ (LSE) (85%); PFE (NYSE) (85%)"
2022-06-22,COVID-19 rebound a reality after antivirals,China Daily,218,"By ZHANG YU in Shijiazhuang | chinadaily.com.cn | Updated: 2022-11-25 15:54
The top official in Hebei province has demanded that local cities improve their ability to discover COVID-19 infections early time so that transmission chains in the community level can be stopped quickly, Hebei Daily reported.
""We should assess the epidemic situation as more severe and complex, think about problems more comprehensively and do our work more carefully,"" said Ni Yuefeng, the province's Party chief, who presided over a provincial-level anti-epidemic meeting on Thursday. It was held via video.
The capital, Shijiazhuang, which is the hardest-hit area in the province, reported 3,197 new local infections on Thursday, with 321 are confirmed cases and 2,876 asymptomatic carriers, quadruple the number of infections in the previous day, according to the province's health commission.
During the meeting, Ni also told COVID-hit cities to enhance the construction of quarantine centers and makeshift hospitals to make sure positive cases are transferred and that close contacts are isolated as needed.
While containing the ongoing epidemic, cities should meet the basic needs of residents, including medical treatment and students' online classes, as well as support measures for companies affected by the epidemic, he added.",COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); DISTANCE LEARNING (78%); ISOLATION & QUARANTINE (78%); DISEASE REPORTING (77%); TALKS & MEETINGS (75%); VIRTUAL EVENTS (73%); HEALTH DEPARTMENTS (72%)
2022-11-25,Hebei Party chief: Redouble COVID-19 fight,China Daily,367,"By ZHENG CAIXIONG in Guangzhou | chinadaily.com.cn | Updated: 2022-11-11 11:20
Haizhu district, the epicenter of this round of COVID-19 outbreak in Guangzhou, Guangdong province, has further strengthened its prevention and control measures starting Friday.
According to the new measures that will last until the end of Sunday, all the residents in the district are required to stay at home unless absolutely necessary to limit the flow of people.
Only one person from each household is allowed to go out for shopping each day, said a statement released by the district government on Friday.
All public transport services, including bus, metro, taxi and online car hailing, have been suspended while major highway entrances to Haizhu have also been temporarily closed, said the statement.
And closed-loop management has been introduced in all the colleges, and major companies and institutions, including elderly homes and confinement centers of parturients, it said, adding that all business premises, except hospitals, clinics, pharmacies and some supermarkets that ensure the supplies of people's livelihood, have been temporarily be closed.
Meanwhile a new round of nucleic acid testing campaign has been launched to help seek the possible infections and block the spread of the virus in local communities, said the statement.
Haizhu, where the exhibition halls of China Import and Export Fair are located, is a major international exhibition and convention center in the southern Chinese region and a densely populated area in Guangzhou, which has a population of more than 18 million.
In addition to Haizhu, the districts of Yuexiu, Liwan, Panyu and Baiyun have also further tightened their measures against COVID-19 beginning Friday.
And many universities and colleges in the city have introduced closed-loop management and launched online classes starting Friday.
The new measures were introduced when Guangzhou reported 225 local transmitted patients and 2,358 asymptomatic carriers on Thursday. And the whole Guangdong province reported a total of 289 confirmed patients, and 2,461 asymptomatic carriers, on Thursday, according to statistics released by the Guangdong Provincial Health Commission on Friday.",COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); INFECTIOUS DISEASE (90%); DISTANCE LEARNING (78%); POPULATION DENSITY (78%); VIRTUAL EVENTS (78%); CITY LIFE (74%); HEALTH DEPARTMENTS (72%); REGIONAL & LOCAL GOVERNMENTS (72%); EXPORT TRADE (70%); IMPORT TRADE (70%); COLLEGES & UNIVERSITIES (68%); STATISTICS (62%)
2022-11-11,Guangzhou announces new measures to control COVID-19,China Daily,662,"By YANG HAN in Hong Kong | CHINA DAILY | Updated: 2022-07-02 11:15
Thailand's lifting of almost all its COVID-19 travel restrictions on Friday is conducive to economic recovery, but new concerns have arisen on its plan to declare a ""post-pandemic era"" in the country, experts said.
Foreign tourists can now visit Thailand without registering for the Thailand Pass, an entry program that was introduced during the COVID-19 pandemic, according to the Tourism Authority of Thailand.
This means that all travelers can enter Thailand with just proof of either a vaccination certificate or a pre-arrival negative test result.
The Southeast Asian country removed all key travel restrictions from Friday and had originally planned to declare COVID-19 endemic on the same day. But the Thai Ministry of Public Health said it will postpone the plan for another week as it needs to monitor the domestic COVID-19 situation.
New COVID-19 treatment rules, effective from Friday, will allow patients to receive free treatment at registered hospitals based on their medical benefits and coverage, the Thai government said.
The announcement came as Thailand's Center for COVID-19 Situation Administration, or CCSA, reported a steep spike in lung infections among COVID-19 patients, jumping to 684 cases on June 30 from 598 on June 17, reported the Bangkok Post.
CCSA assistant spokeswoman Apisamai Srirangsan said the fatality rate remained stable and the increase was expected since Thailand had already made mask-wearing optional.
Manoon Leechawengwongs, a pulmonologist at Vichaiyut Hospital in Bangkok, said the government should postpone its plan to declare Thailand in the post-pandemic era as the private hospital saw increasing numbers of new patients, a trend that has been seen in all hospitals in Bangkok.
Thailand reported 2,354 new cases on Friday, bringing the national tally to 4,525,269. The virus has caused 30,664 deaths in the country so far.
As of Wednesday, Thailand has administered 140 million COVID-19 vaccine doses, according to the CCSA. Yet, only 42.6 percent of its 70 million population received the booster shot－well below the national target of 60 percent.
'Not ready'
Thailand is ""not ready"" to declare its post-pandemic status, said Thira Woratanarat, an associate professor at Chulalongkorn University's Faculty of Medicine in Bangkok.
Thira told China Daily that COVID-19 is a rapidly evolving virus and it is difficult to predict its pace and pattern. He said current public surveillance data cannot show the actual infection situation and will cause misperception among Thai people.
""If the Thai Ministry of Public Health announces the post-pandemic entry without readiness, it is highly possible that the epidemic will be going on without a trustable surveillance system,"" Thira said.
Thira also said he is most concerned about the long-term sequelae of COVID-19 infections that would impair Thai people's abilities for daily activities.
Noting Thailand has detected new COVID-19 subvariants BA.4 and BA.5, Thira said BA.5 will take over the pandemic in Thailand. ""Around one-fifth of countries with the BA.5 wave showed a higher peak than earlier waves,"" he said.
Thira said the health authorities should strengthen the surveillance system and regularly update the situation to the public.
Jesper Palmqvist, area director for Asia-Pacific at data and consulting company STR, told China Daily that easing entry rules will help improve Thailand's tourism prospects, but the recovery is still in its early days.
Thailand received nearly 40 million international tourists in 2019, with about a quarter of them from China. The country has so far recorded more than 2 million arrivals this year and is aiming to receive up to 10 million foreign tourist arrivals in total.
Though Thailand has been trying to diversify its source markets even before the pandemic, Palmqvist said it will take years to get it going properly. The recovery of airline capacity will also be key, he said.",COVID CORONAVIRUS (93%); COVID-19 CORONAVIRUS (93%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); EPIDEMICS (90%); INFECTIOUS DISEASE (90%); PANDEMICS (90%); PUBLIC HEALTH (90%); PUBLIC HEALTH ADMINISTRATION (89%); PUBLIC HEALTH SURVEILLANCE (89%); VACCINE CERTIFICATIONS & PASSPORTS (89%); VACCINES (89%); RESPIRATORY DISORDERS & INJURIES (78%); VACCINATION & IMMUNIZATION (78%); ECONOMIC RECOVERY (77%); GOVERNMENT TOURIST OFFICES (77%); POPULATION SIZE (76%); TRENDS (76%); MANDATORY VACCINATIONS (75%); DISEASES & DISORDERS (74%); HEALTH DEPARTMENTS (74%); DEATH & DYING (73%); PRIVATE HEALTH CARE (73%); SURVEILLANCE (73%); SURVEILLANCE TECHNOLOGY (72%); TOURISM DEVELOPMENT (72%); COLLEGE & UNIVERSITY PROFESSORS (60%)
2022-07-02,Concerns arise as Thailand loosens COVID-19 curbs,China Daily,362,"By Li Wenfang | chinadaily.com.cn | Updated: 2022-12-02 21:07
The authorities of Guangzhou, Guangdong province have pledged to meet various medical care demands from residents as the COVID-19 control measures are optimised to be more precise and scientific.
A total of 1,323 general nucleic acid test sampling spots, 297 sampling spots for people with a yellow health code and 87 24-hour sampling spots are in place across the city on Friday, said Zhang Yi, deputy director of Guangzhou Health Commission, at a news conference on Friday.
Out-patients can enter hospitals with a green health codes and new in-patients and their companions are required to present a negative nucleic acid test result within 24 hours to enter hospitals in the city.
All qualified fever clinics are required to open, with the staff at those clinics strengthened.
Medical resource reserves are planned, including designated hospitals and makeshift hospitals for admitting infected people.
These hospitals in the city have nearly 90,000 beds and more than 2,000 ICU beds.
Guangzhou has reported about 162,700 infection cases in the ongoing outbreak, with asymptomatic carriers accounting for about 90 percent of them. Only four patients suffer severe or critical conditions, with no death cases.
This indicates significantly lower pathogenicity of the current Omicron subvariant of the virus, Zhang said.
As COVID-19 control measures are adjusted in the city, the demand for related medicines have surged.
On Thursday, 100,000 records of sale of flu and fever medicines were booked at retail pharmacies in the city, which was 2.5 times the amount in a normal day, said Ding Li, deputy director of the Guangzhou Administration for Market Regulation.
The authorities have contacted wholesale and retail medicine companies in the city for greater procurement and coordinated medicine and medical device producing companies in the city for reasonably greater supply.
The city's daily capacity of producing antigen test kits stands at 10.5 million units.
The authorities are scrutinising the quality and prices of medicines, Ding said, also reminding the public of safe use of medicines and expiration of medicines.",COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); INFECTIOUS DISEASE (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (89%); HEALTH DEPARTMENTS (78%); PUBLIC HEALTH & WELFARE LAW (76%); INTENSIVE CARE UNITS (75%); MEDICAL DEVICES (73%); PRESS CONFERENCES (73%); INFLUENZA (71%); PRICES (69%); DRUG PRICES (64%)
2022-12-02,Guangzhou pledges to meet medical needs amid COVID-19,China Daily,406,"By DU JUAN | chinadaily.com.cn | Updated: 2022-12-03 21:17
Beijing announced on Saturday more measures, mainly concerning medical services to provide more convenience for the public, during the ongoing COVID-19 outbreak.
Starting on Saturday, residents in the city will no longer need to register their personal information for purchasing medicines for a fever, cough, sore throat or anti-infection both online or in drugstores, according to the municipality's market supervision authority.
People can also get healthcare and medical consultant service at an online platform relaunched recently by Beijing Medical Association which has arranged experts on eight specialties including respiratory, infectious diseases, geriatrics, pediatrics and psychology, according to the city's health commission on Saturday.
""The platform will run between 8 am and 10 pm and experts will answer the questions from the public during the time, which will help people get professional guidance and medical knowledge without going out,"" said the commission.
The platform, held by the Beijing Medical Association and guided by the government, was first launched on Feb 1, 2020. On April 28 this year, it was put into operation again due to the epidemic outbreak during the time. People can log onto the platform via Wechat.
The health commission also announced on Saturday the city will improve the service in makeshift hospitals to ensure that patients can be discharged safely, effectively and orderly.
The staff of makeshift hospitals will provide documents for recovered patients to ensure the latter can be accepted by their residential communities smoothly. The communities' health service agencies will be responsible for discharged patients' registration and provide health guidance afterwards.
On Saturday morning, Beijing's top epidemic control and prevention work group held a meeting hosted by the capital's Party chief Yin Li, saying that the city's epidemic control and prevention situation is still severe and complicated. All stakeholders including the individual should work more scientifically and effectively to curb the upward trend of the ongoing outbreak and avoid new epidemics.
Between midnight and 3pm on Saturday, Beijing reported 1,392 new infections, among whom 1,027 are asymptomatic carriers, according to the city government.
Of those infections, 1,228 were found in those under quarantine and 164 were detected at a community level.","COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); COVID-19 CORONAVIRUS REGULATION & POLICY (90%); DISEASES & DISORDERS (90%); HEALTH DEPARTMENTS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); ASSOCIATIONS & ORGANIZATIONS (89%); BUSINESS & PROFESSIONAL ASSOCIATIONS (89%); COMMUNICABLE DISEASE CONTROL (89%); EPIDEMICS (89%); APPOINTMENTS (78%); ISOLATION & QUARANTINE (78%); MEDICINE & HEALTH (78%); RESPIRATORY DISORDERS & INJURIES (78%); CITIES (77%); CITY GOVERNMENT (77%); REGIONAL & LOCAL GOVERNMENTS (77%); EAR, NOSE & THROAT DISORDERS (76%); INTERNET SOCIAL NETWORKING (76%); PSYCHOLOGY (73%); TRENDS (71%); TALKS & MEETINGS (69%); GOVERNMENT & PUBLIC ADMINISTRATION (67%)"
2022-12-03,Beijing implements new COVID-19 measures,China Daily,481,"By JULIAN SHEA in London | China Daily Global | Updated: 2022-10-19 09:36
Pioneers of the research that led to one of the first COVID-19 vaccines say breakthroughs made in their studies could point the way toward developing a potential vaccine against cancer before the end of the decade.
In a BBC interview, husband and wife team Ugur Sahin and Ozlem Tureci, co-founders of BioNTech, the German company that teamed up with pharmaceutical giant Pfizer to create one of the game-changing vaccines, said technology they had developed could be repurposed to help the immune system respond to cancer cells.
The mRNA COVID-19 vaccine causes cells to create spike proteins, which warn the body's immune system about things to look out for and to attack. It is hoped that this could be reworked using proteins found in cancer tumor cells, causing a similar bodily defensive action.
BioNTech was founded in 2008 specifically to work on cancer treatments. ""From the very beginning, our focus has always been on exploiting the full potential of the body's immune system to successfully help address cancer and infectious diseases,"" says the company website.
The pandemic diverted its efforts, but now the focus has shifted away from it, some of those earlier cancer vaccine developments have reached the clinical trial stage.
""As scientists we are always hesitant to say we will have a cure for cancer,"" said Tureci. ""We have a number of breakthroughs and we will continue to work on them ... this will definitely accelerate also our cancer vaccine.""
Luke O'Neill, professor of biochemistry at Trinity College Dublin, told Irish state broadcaster RTE that such a breakthrough would be ""the Holy Grail"" of cancer research.
""There's at least 10 clinical trials running at the moment using RNA vaccines on cancer, and they're obviously early stage trials. But it seems like pancreatic, melanoma, head and neck cancer, the really difficult ones, are the ones they're going after first and the signs are they are seeing some traction here,"" he said. ""I guess the way to put it is that optimism has never been higher.""
He added that ""the dream"" was for a way to be found to enable the body to recognize a cancer tumor as a foreign element, in the same way it had done with COVID-19, and to respond accordingly, so that the immune system could be ""trained"" to ""hunt down ""the rogue presence.
""You're training the immune system like a smart bomb, in a way, to see those differences and kill that tumor cell,"" he continued.
What made the potential breakthrough even more exciting, he said, was that any treatment could be personalized to work on an individual cancer patient's specific circumstances.
""You can take someone who's got cancer, take their own tumor and make an RNA vaccine out of that and soup up their own immune system specifically against their own tumor. That's a really wonderful thing to see,"" he added.","CANCER (95%); VACCINES (94%); COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (91%); DISEASE IMMUNITY (90%); DISEASES & DISORDERS (90%); IMMUNOLOGY (90%); INFECTIOUS DISEASE (90%); MEDICAL TREATMENTS & PROCEDURES (90%); ONCOLOGY (90%); CANCER DRUGS (89%); TUMORS (89%); BIOCHEMICAL RESEARCH (78%); HEAD & NECK CANCER (78%); MEDICAL RESEARCH (78%); DRUG DESIGN & DISCOVERY (77%); EPIDEMICS (77%); GENETIC BIOCHEMISTRY (75%); INTERVIEWS (73%); SKIN CANCER (73%); BIOCHEMISTRY (69%); BOMBS & EXPLOSIVE DEVICES (68%); COLLEGE & UNIVERSITY PROFESSORS (50%)

Company:  PFIZER INC (84%)

Ticker: PFZ (LSE) (84%); PFE (NYSE) (84%)"
2022-10-19,COVID-19 research offers hope for cancer treatment,China Daily,292,"By Deng Rui and Tan Yingzi in Chongqing | chinadaily.com.cn | Updated: 2022-11-27 18:54
The coronavirus epidemic in Chongqing should be contained as soon as possible in a scientific, precise and timely manner, with cohesive prevention and control measures coordinating all forces and materials, said Chinese Vice-Premier Sun Chunlan during an inspection of the city from Friday to Saturday, Chongqing Daily reported.
On Saturday, Chongqing reported 194 newly confirmed local cases and 8,667 new asymptomatic carriers, a new record high since the local epidemic outbreak on Nov 1, according to figures released by the municipal health commission.
""The epidemic situation is still grave and complex,"" said deputy director of the Chongqing Health Commission Li Pan at a news conference on Saturday night.
On Friday, the city reported 7,659 new cases — an increased of 1,281 cases compared to that on Thursday. The figure rebounded to the same level on Wednesday, Li said.
A COVID-19 related death was reported on Sunday in the city.
The 91-year-old male patient was transferred to Chongqing Public Heath Medical Center in Shapingba district from Yuzhong district on Wednesday. The patient, who had consciousness disorder, severe pneumonia, septic shock and multiple organ failure when entering the hospital, was diagnosed as critically ill. The condition of the patient deteriorated afterwards with decreasing heart rate and blood pressure, and died despite emergency treatment including cardiopulmonary resuscitation failure.
To carry out precise epidemic prevention and control work, the central city's Yuzhong, Jiulongpo, Jiangbei and Yubei districts conducted nucleic acid testing for three consecutive days starting on Saturday, according to the conference.",EPIDEMICS (92%); CORONAVIRUSES (90%); COVID CORONAVIRUS (90%); COVID-19 CORONAVIRUS (90%); DISEASES & DISORDERS (90%); INFECTIOUS DISEASE (90%); PUBLIC HEALTH (90%); COMMUNICABLE DISEASE CONTROL (78%); HEALTH DEPARTMENTS (78%); PRESS CONFERENCES (78%); VIRUSES (78%); MEDICAL SHOCK (74%); DEATH & DYING (73%); PNEUMONIA (73%); RESPIRATORY DISORDERS & INJURIES (73%); SEPSIS (72%); INSPECTIONS (71%); COMAS & VEGETATIVE STATES (67%)
2022-11-27,Chongqing's COVID-19 epidemic still dire,China Daily,356,"chinadaily.com.cn | Updated: 2022-12-11 13:54
SHANGHAI - Huang Huiqin, 108, is in good health six months after she recovered from COVID-19 in Shanghai.
In a recent return visit by phone, doctors with the Ruijin Hospital Luwan Branch, where Huang was treated in May, determined that her underlying issues remain stable, with no sequelae caused by the virus found. They gave the centenarian blessings and health guidance.
After testing positive for the virus on May 16, Huang was transferred to the hospital for treatment.
Huang had been in bed after experiencing a bad fall 18 months prior, and was incontinent with contracted lower limbs. It was not an easy task to treat the elderly patient.
Medics who traveled from Hunan and Shanxi provinces to assist the city's fight against the epidemic and the hospital staff established a special medical team to implement personalized therapeutic solutions for Huang.
The nurses on her ward continuously provided her with prone-position ventilation support, improved her lung ventilation status, and kept her oxygen saturation level above 97 percent at all times, thus helping the patient survive her most dangerous period of acute infection.
Every day, the medical staff also treated her pressure sores, which had been caused by her being bedridden for a long time, so she never experienced further skin damage or secondary infection during her hospitalization.
An intensive care team from the Xiangya Hospital of Central South University in Hunan made a daily inspection plan, and ICU doctors and respiratory therapists visited her on a daily basis to determine potential risk factors, thus ensuring the normal workings of her vital organ functions.
Strictly implementing the requirements of the national COVID-19 diagnosis and treatment plan, identifying potential risks in a timely manner and addressing any such risks are key to treating elderly patients, said Kang Yan, director of the critical care medicine department at the West China Hospital of Sichuan University. Kang had given advice on the treatment of Huang.
On the morning of May 21, Huang was discharged from hospital and returned home.",COVID CORONAVIRUS (91%); COVID-19 CORONAVIRUS (90%); INFECTIOUS DISEASE (90%); LEVELS OF CARE (89%); HEALTH CARE PROFESSIONALS (78%); DISEASES & DISORDERS (77%); INTENSIVE CARE UNITS (77%); PHYSICIANS & SURGEONS (77%); EPIDEMICS (76%); SENIOR CITIZENS (76%)
